Label,Text,Jenis
Negative,efek pfizer ga main main,Pfizer
Negative,efek pfizer gila juga…,Pfizer
Negative,efek pfizer i bengkak ya,Pfizer
Negative,efek pfizer lumayan lah bikin pusing,Pfizer
Negative,"efek pfizer nya marai pingin potong rambut, omaygat mumet",Pfizer
Positive,"efek pfizer sampe sekarang belum ada. kemarin habis vaksin rada pusing tipis - tipis. ga tau itu efek vaksin, tensi aku yang agak tinggi (129/79), atau laper. habis makan ayam madura ilang, sih, pusing nya. jangan lupa ngecek tiket vaksin boosternya.",Pfizer
Negative,"efek pfizer selain badan pegal - pegal, hangat, mengigil, agak halusinasi, tidur2 mimpi ayam . ternyata aku kebanyakan jadi mbah surip",Pfizer
Positive,"efek tidak ada demam, cuman lengan bekas suntiknya agak nyeri",Pfizer
Positive,"Efek umum sesudah divaksin. Pfizer, Sinovac, Sinopharm: hampir ga ada efek.",Pfizer
Negative,"efek vaksin booster pfizer : - sakit kepala - lapar banget bener2 beda laparnya ama biasanya, kaya klo udh laper ga bisa nahan banget… - sakit di lengan bekas suntik, bener2 seluruh lengan sakitnya bukan dibekas suntiknya aja - ngantukan sih ",Pfizer
Negative,efek vaksin booster pfizer badan meriang seharian,Pfizer
Negative,efek vaksin booster pfizer luar biasa lengan kirinya berasa,Pfizer
Negative,"efek vaksin booster pfizer mulai terasa, tangan pegel linu, badan anget",Pfizer
Negative,"efek vaksin booster pfizer. aku vaksin sekitar jam setengah  9. seharian g kenapa2 masih cuma lengan agak pegel dan sakit malamnya kek kena badai ,badan panas iya, ditambah masuk angin sama badan menggigil dingin tp panas gitu  jam 3 pagi kebangun badan kek panas baru minum obat",Pfizer
Negative,"efek vaksin covid-19 pfizer setengah dosis, 29 jam kemudian: mata ngantuk kayak habis disuntik obat tidur buat gajah.",Pfizer
Negative,"Efek vaksin pfizer di tubuh gue astagfirullah sih, semoga dosis kedua nanti ga makin aneh2 yaaa.. ini dosis pertama aja udah cukup bikin mau nangis semaleman ",Pfizer
Positive,efek vaksin pfizer mulai lapar sodara… tp masih bisa terkontrol dan tak tergoda,Pfizer
Positive,efek vaksin pfizer: tidur 11 jam,Pfizer
Positive,"Emang kenapasi kalo pengen vaksin Pfizer? Ko kaya tertekan banget gue, mana disuruh berubah pikiran biar vaksin sinovac aja. Knp?",Pfizer
Negative,"gak lama sama jarak vaksin, langsung tumbang",Pfizer
Negative,gara-gara pfizer aku ijin nggak masuk kantor 3 hari,Pfizer
Positive,"gila booster pake astra efek langsung sakit, mending make pfizer.",Pfizer
Negative,gila ini efek booster pfizer kenceng abis,Pfizer
Negative,"gini bgt efek booster pfizer badan meriang, tangan pegel ga lagi2 deh",Pfizer
Positive,"h+5 booster pfizer dan sejauh ini ga ada efek aneh - aneh. paling cuma agak hiperaktif setelah satu jam disuntik asli kaya abis makan gula kebanyakan. ngga ngantuk, ngga laper, cuma nyeri dikit di daerah sekitar suntikan.",Pfizer
Negative,habis booster pfizer malah linu semua dan meriang. kemarin yg sinovac malah tidak ada efek sama sekali.,Pfizer
Positive,habis disuntik booster pake pfizer saat ini ngga ada efek yang parah alhamdulillah,Pfizer
Positive,"hari ini gak ke sekolah , tidur 4x. efek vaksin pfizer emang mantap. tapi aku tetap tenang gak minum paracetamol (gaya bgt). kuncinya tidur, kalo bangun masih gak enak badan ya tidur lagi, kalo masih gak enak badan, tidur lagi. alhamdullilah 4x tidur sudah mendingan.",Pfizer
Positive,"hari ini vaksin booster, pfizer, dan belum merasakan efek apa- apa",Pfizer
Positive,Hari ini vaksin ke 3 pfizer selesai semoga menguatkan imun,Pfizer
