Label,Text,Jenis
Negative,"Kemarin saya sudah booster (vaksinasi ke-3), dapat Pfizer kali ini. Vaksin pertama Astra saya cukup banyak efek samping, seperti meriang. Yang ke-dua hampir tidak terasa . booster kemarin cukup menganggu, pegal, meriang dan lelah hari ini. Tapi daripada kena COVID-19",Astra
Positive,"moderna efek sampingnya lebih kenceng, ibu ku tenaga kesehatan jd dpt dosis 3 moderna. sblmnya sinovac. bnrn meriang 3 harian abis vaksin pdhl pas sinovac engga",Sinovac
Positive,1 astrazeneca; 2 astrazeneca; dan 3 pfizer.  alhamdulillah vaksin covid kali ini ga terasa efek kipi apa - apa...  semoga makin kebal...,Pfizer
Positive,"12 jam setelah vaksin booster dengan jenis pfizer: terpantau gak ada efek samping aneh-aneh. sejauh ini cuma ngerasain lengan pegel dan ngilu kayak abis dipukulin satpol pp.   mungkin ""pp"" di ""satpol pp"" itu maksudnya paksin pfizer",Pfizer
Negative,2 hari demam pusing kepala keliyengan badan ngilu semua dan mual efek hbs pfizer trs cuma bsa baring aja diranjang ga mood makan jg baru kmrn badan enakan bsa jalan tapi tetep makan kek ga berselera,Pfizer
Positive,"abis booster vaksin pfizer kerasa lengan lumayan kemeng, dan kepala pusing gini. tidak tau ini efek samping vaksin atau gegara tadi malem kurang tidur",Pfizer
Positive,abis divaksin booster pake pfizer. efek ngantukan sampe sekarang ga ilang2 dikit2 nguap pengennya merem mulu,Pfizer
Negative,abis suntik vaksin ketiga booster pfizer efek samping nya lama banget. badan panas sama pala pusing efeknya 4 hari belum sembuh2 juga.,Pfizer
Negative,"abis vaksin booster pfizer, efek sampingnya lebih pegel dan jadi laper mulu  mau lari atau angkat beban enggak mungkin, karena disaranin ngga olahraga dulu",Pfizer
Positive,"aku pfizer, ga ada efek apa apa sih. cuma pas malem nya (aku vaksin siang) itu lengan area suntik kerasa nyeri, tapi pas pagi nya udah sembuh. aku memang dari vaksin pertama ga ada efek pasca yang begitu berarti sih, paling cuma ngantuk aja ",Pfizer
Positive,"Aku pfizer. Trs kata temen2 ku ""enak bgt dpt pfizer"". Dan efek yg aku rasain sih demam biasa aja. Gak ada yg sampe parah gimana gitu",Pfizer
Positive,"aku udah vaksin pfizer, gak ada efek",Pfizer
Negative,aku vaksin 1 dan 2 gak ada efek juga sih. tpi hari jumat nanti booster pfizer gila aku,Pfizer
Positive,aku vaksin booster yg pfizer aman nder. cuma tangan lebih pegel dan kemeng bgt tapi cuma 1-2 hari doang sama rada sakit kepala tp ga nyampe sehari udh sembuh. selebihnya ga ada efek apa2. tidak tau klo mungkin tiap org beda ya,Pfizer
Positive,alhamdulillah booster pfizer gak ada efek apa-apa di aku,Pfizer
Positive,alhamdulillah hari ini udah vaksin booster pake pfizer! semoga sehat selalu!! dan semoga efek nyeri yg di lengan gak sesakit pas vaksin 1 astrazeneca,Pfizer
Positive,"Alhamdulillah Nyokap udah vaksin booster @pfizer
di @rumahsakitui . Sehat2 terus & semoga ga ada KIPI nya ya",Pfizer
Positive,alhamdulillah sudah vaksin booster pagi tadi. vaksin pfizer  efek : kepala agak pusing tapi tidak terlalu yang berat kaya waktu vaksin 1 dan 2 dgn jenis sinovac. ngantuk dan lengan kiri masih berasa pegel sampai saat ini.,Pfizer
Positive,"alhamdulillah tidak ada efek samping apa2. ngantuk enggak, pegel juga b aja, dan ya allah jgn sampe demam ya . malah ga separah sinovac dosis ke-2. sinovac 2 efeknya di aku, lengan yg disuntik pegel lebih dari seharian, sama ngantuk. pfizer kali ini aman aja insyaaallah",Pfizer
Positive,"alhamdulillah, hingga detik ini tidak terasa adanya efek samping. semoga aman terus hingga hari ke 3.  #vaksin #pfizer ðŸ’ªðŸ‡®ðŸ‡© @ kota semarang",Pfizer
Positive,"Alhamdulillah, kelar vaksin pfizer dosis kedua. Sampai malam ini, kipi pfizer di ibu hamil 36 minggu masih sama dengan dosis pertama yaitu tangan pegal di area bekas suntikan. Semoga kita semua diberi kesehatan dan pandemi ini segera berakhir. Aamiin.",Pfizer
Positive,"allhamdulillah aman pake pfizer, nggak rewel badan ku",Pfizer
Negative,alumni sinovac tidak percaya diri sama efek booster pfizer,Pfizer
Negative,Asli pfizer efek nyeri nya dapettt bgtttt... kebangun badan saki semuaaa... Tangan kiri bahkan buat gerak sakit juga,Pfizer
Positive,"baca2 cuitan temen2 emang rata2 habis vaksin pfizer gitu si efeknya, ada 1 efek yg aku itu berdoa jangan sampe ke aku efeknya yaitu jadi doyan makan itu yg aku hindari bgt soalnya semenjak vaksin dosis 1 2 sinovac aja aku ngerasa pingin makan terus dan aku makin gendut",Pfizer
Positive,"baru kelar booster pfizer di rumah sakit fatmawati. dateng jam 8 pagi, selesai jam 10 lumayan lah ya. sekarang berasa laper efek vaksin atau emang laper aja ya?",Pfizer
Negative,"baru kemarin booster kak. dapet pfizer. ga ada efek aneh2 sih sampe sekarang, bekas suntikan ngilu sama asam lambung agak cepet naik aja.",Pfizer
Negative,bonyok aku dpt pfizer booster. katanya pegel2 di tangan 2 hari sma lemes. kayanya kaya vaksin deh beda2 efek tiap orang,Pfizer
Negative,booster gitu kamu dr pemerintah jepang atau di kedutaan besar republik indonesia?  ini pertama kali sih pfizer. efek pusingnya langsung berasa. sebelumnya aku sinovac ya biasa aja,Pfizer
Positive,"booster ke 3 emang ngefek dibanding 1 dan 2 ..terlebih beda sama sinovac.. pfizer, moderna, dan astra ninggalin efek pegel di bekas suntikan (bisa 2 hari) dan demam ( bisa 2- 5 hari) tapi biasanya yg demam itu yg kurang tidur sama asupan makan sebenarnya",Pfizer
Positive,booster pfizer di aku kok aman-aman aja ya,Pfizer
Positive,"booster pfizer, di lippo kemarin, ga ada efek apa2 selain nyeri",Pfizer
Negative,"buat baca -baca, pendapat pakar senior penyakit infeksi. info ttg efek samping pfizer dan moderna.  awalnya ngeri, miokarditis dan gangguan jantung lainnya. ujungnya, semuanya aman dan efektif.   aku ada gangguan jantung. vaksin pfizer udah",Pfizer
Positive,bukannya az lebih kerasa efek sampingnya dari pada moderna dan pfizer ya?,Pfizer
Positive,cerita pagi ini vaksin sendiri gegara cari yg pfizer. jam 9 berangkat dan 9.30 udah sampe kos. disana ga antri sama sekali pas disuntik pun ga sakit. jam 12.47 sertifikatnya udah jadi. cepet juga. semoga ga ada efek gimana gimana setelahnya,Pfizer
Negative,cukup sekali ini aja :) aku udah gak kuat sama efek nya,Pfizer
Positive,"cuman nyeri bagian lengan aja kok, aku vaksin pfizer",Pfizer
Positive,"dua hari kemudian, jumat (28 jan '22) gue sama bokap booster pfizer di rumah sakit mayapada. abang blm booster krn dia nunggu moderna. pulang dari booster, bokap pusing, badan lemas, batuk, dan panas. belum panik krn gejalanya sama kayak pas bokap vaksin 1, mikirnya mungkin itu efek aja.",Pfizer
Negative,"efek booster 3 dapet pfizer, awake adem panas, flu, kepalanya serasa muter, kena air sakit ndak enak, mual ndak napsu mam. semoga besok udah enakan, yuk istirahat tapi tetep kawal bangun rumahnya",Pfizer
Positive,"Efek booster kah? Kayaknya tergantung dari jenis vaksinnyaa. Kalau kayak moderna, pfizer, astra efek post vaksinnya hampir mirip mirip: ada yg demam, nyeri nyeri tulang, sakit kepala tapi biasanya ilang sendiri 2-3 hari. Maknyus sih emang, pantes ngeluh",Pfizer
Negative,"efek booster nya baru kerasa, tanganku pegel banget, kesenggol dikit linu, badan demam, terima kasih pfizer :')",Pfizer
Negative,efek booster pfizer di aku 1. suhu badan agak naik + bikin kaki adem  2. perut sakit + diare 3. badan nyeri semua di hari ke dua,Pfizer
Negative,efek booster pfizer gila gilaan bgt,Pfizer
Negative,"efek booster pfizer kyk terbang tinggi gitu ,ini campurannya apa",Pfizer
Negative,efek booster pfizer nya baru terasa sekarang,Pfizer
Positive,efek booster pfizer sejauh ini sih cuma njarem sama ngantuk aja sih. ngantuk pun itu 50:50 antara efek booster atau emang semalem kurang tidur,Pfizer
Negative,"efek booster pfizer, ditambah stres, bikin gagal diet terus.",Pfizer
Negative,efek booster pfizer. pegel linu lemes ngantuk,Pfizer
Negative,"efek nya gila bener ini, aku sampek gak kuat jalan… duduk aja nggak bisa",Pfizer
Positive,efek pfizer : ngantuk bgt bgt bgt,Pfizer
Negative,efek pfizer booster mulai melanda,Pfizer
Negative,efek pfizer canggih juga,Pfizer
Positive,yang udh vaksin booster moderna pada kena efek samping apa? aku sejauh ini cuma ngilu aja lenganku :(,Moderna
Positive,"Yang aku tangkap dari penjelasan BPOM dan ITAGI kemarin, dicari yang sekiranya aman efek sampingnya. Karena ternyata Moderna dan Pfizer punya efek samping yang 'kuat'. Tidak sedikit tenaga kesehatan yang 'megap-megap' setelah booster. Jadi, dicari amannya.",Moderna
Negative,waktu gue vaksin ke-2 pake moderna sakit banget juga sampe menggigil. terus katanya efek booster lebih parah ya? semoga cepat membaik!,Moderna
Positive,"vaksin pertama moderna ga ada efek ap-apa, pas vaksin kedua kemarin baru berasa efeknya hari ini",Moderna
Positive,"vaksin ke 3 pake moderna, masih aman dan tanpa ada efek samping",Moderna
Positive,"vaksin booster moderna, cuma sakit di bekas suntikkan, sama ya itu ngantuk sama lapar.",Moderna
Negative,"vaksin booster moderna gak kerasa sama sekali pas disuntikan , tapi efeknya gak main main, bekas suntikan nyerinya bukan main sampek tangan gak bisa diangkat , menggigil , meriang , badan lemas , gak selera makan .. sampek sekarang masih lemas bukan sakit tapi efek vaksin",Moderna
Positive,"vaksin 1 dan 2 pfizer, booster moderna efek nya pegel pegel biasa aja di tangan",Moderna
Positive,"Vaksin 1 dan 2 pakai moderna, ini juga moderna. Kalau efek lain nggak ada, cuman tangannya ini nyeri",Moderna
Positive,vaksin 1 dan 2 moderna gak ada efek apa2 cuman nyeri dibekas suntikkan aja,Moderna
Positive,"udah pake moderna, efek samping ga seserem kata orang -orang. cuma pegel sore malam, paginya udah enakan, belom ilang pegelnya 100% tapi udah bisa nyetir jauh walaupun masih pegel. abis vaksin aku langsung makan minum paracetamol",Moderna
Negative,udah di titik nyerah sama efek sampingnya moderna dosis ke 3 tenaga kesehatan bisa ngangkat tangan dikit aja bersyukurrrr,Moderna
Negative,"udah booster sejak agustus 2021 kak , moderna, efeknya gak main2 di badanku sampai bikin gak bisa bangun… semoga gak ada efek aneh2 biar gak ganggu aktivitas",Moderna
Positive,Ternyata leluasa gerakin tangan & bisa tidur nyamping kanan kiri itu adalah kenikmatan kecil yang baru disadari ,Moderna
Negative,"ternyata efek booster moderna baru kerasa h+1, tangan bengkak pegel dan pusing",Moderna
Positive,"terlanjur kepikiran yang nggak-nggak, ternyata gak ada kipi",Moderna
Positive,"tergantung dia sakit bawaan atau ngga, temen sy juga dah booster 1/2 moderna, 1/2 pfizer, efeknya memang lbh kuat dr vaksin sebelumnya. dia jd lemes tp alhamdulillah baik2 aja. papa sy jg ga jadi booster minggu kemarin karna gula darah",Moderna
Positive,"tentang booster, tadi aku disuntik moderna. alhamdulillah ga ada efek yang berat. 4 jam setelah disuntik sakit kepala yg cukup mengguncangkan bumi terus disundul pake panadol merah idolaqu kemudian anteenngg",Moderna
Negative,"tapi balik lagi, kan efek di tiap orang beda2 cuma moderna efeknya yg paling kerasa",Moderna
Positive,Suntik vaksin moderna satu botol pasti. Langsung sembuh sakitnya,Moderna
Negative,"sungguh efek booster moderna itu tangan bengkak (alhamdulillah cuma semalem) dilanjut dengan demam yg belum jg turun sudah 2 hari 2 malam, bismillah ya abis ini sehat sehat sehat!",Moderna
Negative,"sumpah mak..  moderna parah banget efek nya... sampe pagi ini aku masih demam tinggi coba, sampe gak bisa tidur lagi",Moderna
Positive,"sudah 10 jam vaksin booster moderna, belom terasa efek apapun. mulai agak kerasa nyeri di lengan sih. tapi masih aman2 aja",Moderna
Negative,sing moderna rodo parah efek e,Moderna
